downloaded at,2026/03/01,初期値(web用),web用,,,,,,,,,,
k_cutoff,``real*8``,``3.d0``,WIP,None,None,None,".. code-block:: text

    ! max cutoff in k space to compute S(k)
    ! the k grid is chosen such that the vectors are
    ! k = (nx 2 Pi/ Lx, ny 2 Pi/ Ly, nz 2 Pi/ Lz)
    ! (:math:`|nxmax|`, :math:`|nymax|`, :math:`|nzmax|`) are such that :math:`|k| < k_cutoff`
    ! default value k_cutoff = 3.0
",corrfun,readforward.x,,readforward_19,read_corr_fun.f90:238,
assar_density,``logical``,"``.false.``
",WIP,None,None,None,".. code-block:: text

    ! compute the charge density with Assaraf's method [PRE, 75, 035701(R) (2007)]
    ! file rho_assar.dat generated
    ! in the format
    ! x y z rho(x,y,z) err_rho(x,y,z)
    ! the default is assar_density=.false.
",corrfun,readforward.x,,readforward_20,read_corr_fun.f90:146,
grid_points,``integer``,"- ``ngrid(1)*ngrid(2)*ngrid(3)`` if no input

- with input value

  + ``ngrid(1)*ngrid(2)*ngrid(3)`` if grid_points <= 0",WIP,None,None,".. code-block:: text

    !  number of records  of the grid in format x,y,z to be read
    !  in the file 'turbo_grid.dat' . The density will be computed
    ! on this grid and written in 'rho_assar.dat'.
    ! If grid_points=0 (default), then an internal uniform grid
    ! will be built as in the normal density function.
    ! Set ell: dimension of the box, and ngrid, number of points
    ! in which the box lenghts are divided.
",,corrfun,readforward.x,,readforward_21,"read_corr_fun.f90:167, 313 -- 339, 341 -- 348",
assar_parr,``real*8``,``1.d0``,WIP,None,None,"long distance parameter, optimal value 2*sqrt(-2I) where I is the first ionization energy",".. code-block:: text

    ! Number of grid points to be read
    ! in the turbo_grid.dat file written
    ! in the format
    ! x y z
    ! (default grid_points=0) In this case the program
    ! builds a uniform grid in space, and
    ! ngrid and ell must be defined as above.
",corrfun,readforward.x,,readforward_22,read_corr_fun.f90:147,
charge_density,``logical``,"- ``.false.`` if no input
- ignore input 

  + ``.false.`` if ifrho_assar is .true.",WIP,None,None,None,".. code-block:: text

    ! compute charge density
    ! file rho.dat generated
    ! in a format plottable by gnuplot
    ! x y z  rho(x,y,z)
    ! default charge_density=.false.
",corrfun,readforward.x,,readforward_23,"read_corr_fun.f90:151, 313 -- 316",
new_density,``logical``,"``.false.``
",WIP,None,None,None,None,corrfun,readforward.x,,readforward_24,read_corr_fun.f90:145,
spin_density,``logical``,"- ``.false.`` if no input
- ignore input 

  + ``.false.`` if ifrho_assar is .true.
",WIP,None,None,None,".. code-block:: text

    ! compute spin density
    ! file spin.dat generated
    ! in a format plottable by gnuplot
    ! x y z  spin(x,y,z)
    ! default spin_density=.false.
",corrfun,readforward.x,,readforward_25,"read_corr_fun.f90:153, 313 -- 318",
pair_corr_fun,``logical``,"- ``.false.`` if no input
- ignore input 

  + ``.false.`` if ifrho_assar is .true.
",WIP,None,None,None,".. code-block:: text

    ! compute spin-spin corr functions (if spin_density=.true.)
    ! file written spinspin.dat
    ! and compute charge-charge corr functions (if charge_density=.true.)
    ! file written rhorho.dat
    ! file format:
    ! dx dy dz spinspin(dx,dy,dz)
    ! where
    ! spinspin(dr)=< S_i S_{i+dr) >
    ! with dr=(dx,dy,dz)
    ! TRANSLATIONAL INVARIANCE IS ASSUMED (WITH PBC)
    ! default pair_corr_fun=.false.
    ! also the radial correlation functions are computed
    ! stored in rhorho_radial.dat and spinspin_radial.dat
",corrfun,readforward.x,,readforward_26,"read_corr_fun.f90:154, 313 -- 319",
structure_factor,``logical``,"- ``.false.`` if no input
- ignore input 

  + ``.false.`` if ifrho_assar is .true.
",WIP,None,None,None,".. code-block:: text

    ! compute structure factor
    ! file written:
    ! skvec.dat (rho-rho)
    ! skvec_ss.dat (spin-spin)
    ! skvec_uu.dat (up-up)
    ! skvec_dd.dat (down-down)
    ! skvec_ud.dat (up-down)
    ! default structure_factor=.false.
",corrfun,readforward.x,,readforward_27,"read_corr_fun.f90:156, 313 -- 322",
ngrid,``integer :: ngrid(3)``,``ngrid(1:3) = 0``,WIP,None,None,None,".. code-block:: text

    ! active dimension = corrfun_dim
    ! number of grid points along each direction defined in cart_axes
    ! this is sensitive for the charge and spin densities, and for
    ! the pair correlation functions
    ! NO DEFAULT VALUE
",corrfun,readforward.x,,readforward_28,read_corr_fun.f90:187 -- 189,
cart_axes,``integer :: cart_axes(3)``,"``cart_axes(1:3) = [1, 2, 3]``",WIP,None,None,None,".. code-block:: text

    ! active dimension = corrfun_dim
    ! you can choose the axis over which the correlation function is projected
    ! with notations: 1 <-> x, 2 <-> y, 3 <-> z
    ! for instance, if you choose:
    ! corrfun_dim = 1
    ! cart_axes = 3
    ! it means that you compute the 1D correlation function along the z direction
    ! by integrating over x and y.
    ! default value cart_axes = 1, 2, 3
",corrfun,readforward.x,,readforward_29,read_corr_fun.f90:179 -- 181,
offset,``real*8 :: offset(3)``,automatic,WIP,None,None,unit grid lattice space.,".. code-block:: text

    ! shift of the box where the correlation functions are computed
    ! default value offset = 0.0, 0.0, 0.0
    ! if the offset is set to (0,0,0), the mesh is set in the box
    ! by dividing each side in ngrid equal segments.
    ! the vector shift sets an offset of the mesh points
    ! V_i = V_i + offset
    ! with V_i the mesh points
",corrfun,readforward.x,,readforward_30,"read_corr_fun.f90:183 -- 185, 216 -- 229",
correlated_samp,``logical``,"- ``.false.`` if no input
- ignore input 

  + ``.false.`` if ifrho_assar is .true.

",WIP,None,None,None,".. code-block:: text

    ! compute correlated sampling
    ! in this case also the (new, or correlated) wave function file fort.10 is read!!
    ! file written:
    ! corrsampling.dat (energy sampled, correlated energy of fort.10, correlated difference between the two)

    ! note that all possible correlation functions can be switched on at the same time

    ! input new wavefunction ---> fort.10_corr
    ! Only with K sampling the input is in turborvb.scratch/fort.10_XXXXXX
    ! Remember to save the old wf in this case.
    !Make the first run with vmc option itest=2 with the fort.10 wf, and
    !in the readio section of the turborvb input for correlated sampling use
    !iread=3

    !you can choose the frequency of the dumping to file with

    ifreqdump=#

    !with # the number to indicate each generation you write on file
    !(for instance, ifreqdump=1 (default) write always the configuration on file,
    !ifreqdump=2 write every 2 generations
",corrfun,readforward.x,,readforward_31,"read_corr_fun.f90:157, 313 -- 323",
shiftlog,``real*8``,``0.d0``,WIP,None,None,".. code-block:: text

    to avoid overflow/underflow: see output for accurate guess input.
    The default value is computed from the first initial_bin-1 bins.
",".. code-block:: text

    Another important parameter is ``shiftlog`` (default is zero).
    If the wave functions defined by ``fort.10`` and ``fort.10_corr`` are much different
    and/or the number of electrons is quite large, than the correlated sampling
    can lead to overflow/underflow  because too large/small ratios are involved
    in the reweighting. In this case (if you see ``NaN`` in ``corrsampling.dat``) just
    read the final number in the standard output of ``readforward.x``:

.. code-block:: text

    Average log exponent = xxxxxxxx

Use this number to define ``shiftlog``:

    .. code-block:: text

        shiftlog= xxxxxxxxx
",corrfun,readforward.x,,readforward_32,read_corr_fun.f90:177,
ifkspin,``logical``,"- ``.false.`` if no input
- ignore input

  + sphere_radius /= 0.d0

    - ``.false.`` if ifpair is .true.
    - ``.false.`` if ifspin is .true.
    - ``.false.`` if ifrho is .true.
    - ``.false.`` if grid_points == 0 and ifrho_assar is .true.
",WIP,None,None,".. code-block:: text

    !ifkspin=.true.  ! if .true. compute order parameter with kspin given in input
                     from sqrt(S(kspin)) where S(kspin) is the magnetic structure
                    factor for momentum=kspin.
",None,corrfun,readforward.x,,readforward_33,"read_corr_fun.f90:191, 350 -- 368",
kspin,``real(8) :: kspin(3)``,``kspin(1:3) = 0.d0``,WIP,None,None,".. code-block:: text

    !kspin(1)=0.5d0  ! if ifkspin=.true. read kspin in unit 2Pi/cellscale
    !kspin(1)=0.5d0  ! if ifkspin=.true. read kspin in unit 2Pi/cellscale
",None,corrfun,readforward.x,,readforward_34,read_corr_fun.f90:190,
assar_cut,``real*8``,``1000.d0``,WIP,None,None,".. code-block:: text

    ! short distance cutoff. For assar_cut-->infty it is
    ! applied only to the nuclei-electron cusps
    ! For assar_cut=-1 the short distance correction
    ! is not applied (Use in case of pseudopotentials)
",Cutoff (in bohr) for defining the neighbour points in the grid (see Chernomor's thesis).,corrfun,readforward.x,,readforward_35,read_corr_fun.f90:148,
noeloc,``logical``,``.false.``,WIP,None,None,".. code-block:: text

    ! if noeloc=.true. one neglects the local energy change --> zero
                   variance principle.
",None,corrfun,readforward.x,,readforward_36,read_corr_fun.f90:150,
kswitch,``real*8``,"``0.1d0``
",WIP,None,None,None,Distance in bohr for the switching Hill functions (see Chernomor's master thesis).,corrfun,readforward.x,,readforward_37,read_corr_fun.f90:192 -- 193,
nswitch,``integer``,``8``,WIP,None,None,None,Integer defining the steepness of the Hill functions (see Chernomor's master thesis).,corrfun,readforward.x,,readforward_38,read_corr_fun.f90:194,
compute_spin2,``logical``,"- ``.false.`` if no input
- ignore input

  + ``.false.`` if ifrho_assar is .true.

",WIP,None,None,None,".. code-block:: text

    !compute spin^2
    !implemented in compute_spin2.f90
    !development manual in doc/S^2
    !output file spinsquare.dat
    !need iread=2 for TurboRVB in readio section
",corrfun,readforward.x,,readforward_39,"read_corr_fun.f90:159, 313 -- 324",
radial_grid,``integer``,``0``,WIP,None,None,None,".. code-block:: text

    ! setting the number of points in the radial grid
    ! for spin-spin and charge-charge radial correlation functions
",corrfun,readforward.x,,readforward_40,read_corr_fun.f90:196,
sphere_radius,``real*8``,``0.d0``,WIP,None,None,".. code-block:: text

    if sphere_radius.ne.0.d0 compute SITE spin and charge density and spin and charge correlation functions.
    If sphere_radius < 0 and corrdim=1 --> compute dipole-dipole instead of charge-charge and spin-spin
",".. code-block:: text

    sphere_radius=1.d0 (default =0.d0)
    ! if sphere_radius.ne.0.d0 compute SITE charge and spin density, and charge-charge and spin-spin correlation functions
    ! the SITE is defined as a sphere of radius sphere_radius around each nucleus
",corrfun,readforward.x,,readforward_41,read_corr_fun.f90:197,
quasi_particle,"``logical``
","- ``.false.`` if no input
- ignore input

  + ``.false.`` if ifrho_assar is .true.
",WIP,None,None,None,None,corrfun,readforward.x,,readforward_42,"read_corr_fun.f90:162, 313 -- 319",
quasi_hole,"``logical``
","- ``.false.`` if no input
- ignore input

  + ``.false.`` if ifrho_assar is .true.

",WIP,None,None,None,None,corrfun,readforward.x,,readforward_43,"read_corr_fun.f90:163, 313 -- 320",
quasi_hole_k,"``logical``
","- ``.false.`` if no input
- ignore input

  + ``.false.`` if ifrho_assar is .true.

",WIP,None,None,None,None,corrfun,readforward.x,,readforward_44,"read_corr_fun.f90:164, 313 -- 321",
quasi_hole_extr,"``logical``
",``.false.``,WIP,None,None,None,None,corrfun,readforward.x,,readforward_45,read_corr_fun.f90:165,
dipole_moment,``logical``,"``.false.``
",WIP,None,None,None,None,corrfun,readforward.x,,readforward_46,read_corr_fun.f90:160,
allshells,``logical``,``.false.``,WIP,None,None,None,None,corrfun,readforward.x,,readforward_47,read_corr_fun.f90:198,
fluctuations,``logical``,``.false.``,WIP,None,None,with this option the code prints the spin and charge local fluctuations (<N^2>(x)-<N>^2(x)) in a 3D xcrysden format for visualization,None,corrfun,readforward.x,,readforward_48,read_corr_fun.f90:155,
ifberry,``logical``,``.false.``,WIP,None,None,None,".. code-block:: text

    !This option allows to calculate the berry phase along the three directions. In particular it computes
    !the expectation value of ""exp(-i {2 pi}/L * \sum (r_i)"" for every of the i directions. In particular the
    !output format is explained in the output file Berry.dat and contains the modulus of the value, the error over
    !the real part, the immaginary part and the error over the complex part.
",corrfun,readforward.x,,readforward_49,read_corr_fun.f90:199,
outofplane,``real(8)``,``0.d0``,WIP,None,None,None,None,corrfun,readforward.x,,readforward_50,read_corr_fun.f90:201,
rdf_for_atom,``logical``,"``.false.``
",WIP,None,None,None,None,corrfun,readforward.x,,readforward_51,read_corr_fun.f90:152,
itestr4,``integer``,``2``,"- description(DFT):

``itest4 = -4``: Standard DFT run.

``itest4 = -8``: DFT calculation with twice larger basis for the Hartree potential.



- description(VMC):

This keyword decides the optimization scheme and its kernel. It can assume an integer value according to the following scheme:

   - ``itestr4 = 2`` (VMC) Variational Monte Carlo.

   - ``itestr4 = -4`` (VMC-opt) Wavefunction optimization by Hessian matrix method. Only the **lambda** parameters and the coefficients of the contracted orbitals are optimized.

   - ``itestr4 = -8`` (VMC-opt) Wavefunction optimization by Hessian matrix method. All the parameters are optimized.

   - ``itestr4 = -9, -5`` (VMC-opt) Same as -4, -8, respectively, but using Stochastic reconfiguration (SR) wavefunction optimization method.

   - ``itestr4 = -6`` (LRDMC) Lattice Regularized Diffusion Monte Carlo.

   - ``itestr4 = -24, -28`` (LRDMC-opt) Same as -4, -8, respectively, but the derivatives are computed using LRDMC.

   - ``itestr4 = -29, -25`` (LRDMC-opt) Same as -9, -5, respectively, but the derivatives are computed using LRDMC.
","- description(DFT):

``itest4 = -4``: Standard DFT run.

``itest4 = -8``: DFT calculation with twice larger basis for the Hartree potential.



- description(VMC):

This keyword decides the optimization scheme and its kernel. It can assume an integer value according to the following scheme:

   - ``itestr4 = 2`` (VMC) Variational Monte Carlo.

   - ``itestr4 = -4`` (VMC-opt) Wavefunction optimization by Hessian matrix method. Only the **lambda** parameters and the coefficients of the contracted orbitals are optimized.

   - ``itestr4 = -8`` (VMC-opt) Wavefunction optimization by Hessian matrix method. All the parameters are optimized.

   - ``itestr4 = -9, -5`` (VMC-opt) Same as -4, -8, respectively, but using Stochastic reconfiguration (SR) wavefunction optimization method.

   - ``itestr4 = -6`` (LRDMC) Lattice Regularized Diffusion Monte Carlo.

   - ``itestr4 = -24, -28`` (LRDMC-opt) Same as -4, -8, respectively, but the derivatives are computed using LRDMC.

   - ``itestr4 = -29, -25`` (LRDMC-opt) Same as -9, -5, respectively, but the derivatives are computed using LRDMC.
","- description(tutorials(01-04 Run DFT calculation, prep.x)): Always set -4 in a DFT calculation (INTEGER).
- description(tutorials(02optimization, turborvb.x)): Optimization method (INTEGER). -4 (-8) the modified linear method (LR) [the original linear method], -9 (-5) the stochastic reconfiguration (SR) [See. ref]. See also the review paper.
- description(tutorials(03VMC, turborvb.x)): indicates run type. Choose 2 for VMC.
- description(tutorials(04LRDMC, turborvb.x)): Run type. Choose -6 for LRDMC.
","prep.input:

.. code-block:: text

    -4 standard,-8 use twice larger basis for the Hartree potential.

datasdmc.input:

.. code-block:: text

    itestr4=1 ! 1 standard dmc (with locality); -2 non local dmc with heat bath after all electron diffusion;
                    -3 non local dmc with heat bath after single electron diffusion (more efficient for large systems)

datastest.input:

.. code-block:: text

    itestr4=-8  ! optimize  Z

datasfn.input:

.. code-block:: text

    itestr4=-6        ! LRDMC option

datasvmc.input:

.. code-block:: text

    !itestr4=2   ! vmc value  ! default

datasmin.input:

.. code-block:: text

        itestr4=-4  ! optimize no exponents Z  (allowed itestr4=-8)
                      -9   same as -4 but without hessian (use ncg=1,tpar small)
                      -5   same as -8 but ===
                      a
",None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_01,read_datas.f90:71,
